iter	Passed	Remaining
0	2	237
1	4	224
2	6	216
3	8	200
4	10	199
5	12	199
6	15	200
7	17	197
8	19	193
9	21	193
10	23	191
11	25	188
12	27	185
13	29	183
14	32	181
15	34	178
16	36	176
17	38	173
18	40	172
19	42	169
20	44	167
21	46	164
22	48	163
23	50	160
24	52	158
25	54	155
26	57	154
27	59	151
28	61	149
29	63	147
30	65	144
31	67	142
32	69	140
33	71	138
34	73	136
35	75	134
36	77	132
37	79	130
38	82	128
39	84	126
40	86	124
41	87	120
42	89	118
43	91	116
44	93	114
45	95	112
46	97	110
47	99	108
48	101	106
49	103	103
50	105	101
51	108	99
52	110	97
53	112	95
54	113	92
55	115	90
56	117	88
57	119	86
58	121	84
59	124	82
60	126	80
61	128	78
62	131	77
63	133	75
64	135	73
65	137	70
66	139	68
67	141	66
68	143	64
69	145	62
70	147	60
71	149	58
72	151	56
73	153	53
74	155	51
75	157	49
76	159	47
77	161	45
78	163	43
79	165	41
80	167	39
81	169	37
82	171	35
83	174	33
84	176	31
85	178	28
86	180	26
87	182	24
88	184	22
89	186	20
90	188	18
91	190	16
92	192	14
93	194	12
94	196	10
95	198	8
96	200	6
97	202	4
98	204	2
99	205	0
