iter	Passed	Remaining
0	144	144762
1	146	73001
2	147	49129
3	149	37163
4	151	30120
5	153	25466
6	155	22082
7	156	19450
8	158	17409
9	159	15782
10	160	14422
11	161	13293
12	162	12348
13	164	11558
14	165	10856
15	166	10249
16	169	9796
17	171	9329
18	172	8891
19	173	8503
20	175	8169
21	176	7863
22	178	7589
23	180	7322
24	181	7078
25	184	6898
26	185	6691
27	187	6492
28	188	6303
29	189	6126
30	190	5959
31	191	5803
32	192	5649
33	193	5507
34	195	5384
35	197	5276
36	199	5188
37	201	5090
38	202	4979
39	203	4872
40	203	4770
41	204	4673
42	205	4577
43	206	4493
44	207	4406
45	208	4321
46	209	4240
47	210	4178
48	212	4119
49	213	4063
50	215	4009
51	216	3946
52	217	3883
53	218	3823
54	219	3778
55	220	3723
56	221	3666
57	222	3610
58	223	3561
59	224	3510
60	224	3458
61	226	3421
62	228	3391
63	229	3355
64	230	3319
65	231	3277
66	232	3237
67	233	3197
68	234	3161
69	235	3122
70	235	3087
71	236	3053
72	237	3016
73	238	2981
74	239	2947
75	240	2924
76	241	2898
77	243	2873
78	245	2866
79	246	2837
80	247	2811
81	248	2782
82	249	2752
83	250	2728
84	250	2701
85	251	2675
86	252	2650
87	253	2628
88	254	2603
89	255	2584
90	256	2566
91	258	2551
92	260	2538
93	261	2518
94	262	2497
95	263	2477
96	263	2455
97	264	2436
98	265	2417
99	266	2401
100	267	2381
101	268	2362
102	269	2342
103	270	2330
104	272	2320
105	274	2312
106	275	2299
107	276	2283
108	277	2266
109	277	2248
110	278	2233
111	279	2217
112	280	2204
113	281	2188
114	282	2172
115	282	2155
116	283	2139
117	284	2123
118	285	2113
119	287	2107
120	289	2100
121	290	2088
122	291	2075
123	291	2062
124	292	2048
125	293	2035
126	294	2022
127	295	2010
128	296	1999
129	297	1987
130	297	1975
131	298	1962
132	299	1949
133	300	1941
134	302	1937
135	304	1932
136	305	1925
137	306	1914
138	307	1903
139	307	1891
140	308	1882
141	309	1870
142	310	1860
143	311	1850
144	312	1840
145	313	1830
146	313	1820
147	314	1809
148	315	1802
149	317	1798
150	319	1798
151	321	1792
152	322	1783
153	322	1773
154	324	1766
155	324	1757
156	325	1749
157	326	1741
158	327	1732
159	328	1723
160	328	1712
161	329	1704
162	330	1697
163	332	1693
164	342	1733
165	343	1725
166	344	1717
167	345	1710
168	346	1704
169	348	1701
170	350	1697
171	351	1693
172	352	1685
173	353	1678
174	354	1670
175	355	1662
176	356	1656
177	357	1650
178	358	1644
179	359	1636
180	359	1628
181	361	1622
182	363	1620
183	364	1617
184	366	1614
185	367	1608
186	368	1603
187	369	1597
188	370	1591
189	371	1585
190	372	1578
191	373	1572
192	374	1565
193	375	1558
194	376	1554
195	378	1551
196	380	1551
197	381	1546
198	382	1540
199	383	1534
200	384	1530
201	385	1524
202	386	1518
203	387	1513
204	388	1507
205	389	1501
206	390	1495
207	392	1492
208	393	1490
209	395	1487
210	396	1482
211	397	1477
212	398	1471
213	399	1466
214	399	1460
215	400	1454
216	401	1449
217	402	1443
218	403	1438
219	404	1433
220	404	1427
221	405	1422
222	407	1419
223	409	1419
224	410	1415
225	411	1410
226	412	1405
227	413	1400
228	414	1395
229	415	1390
230	416	1384
231	416	1379
232	417	1374
233	418	1368
234	418	1363
235	419	1358
236	420	1353
237	421	1349
238	423	1346
239	424	1344
240	426	1342
241	427	1338
242	428	1333
243	428	1329
244	429	1324
245	430	1319
246	431	1314
247	431	1309
248	432	1304
249	433	1300
250	434	1295
251	434	1290
252	435	1285
253	436	1281
254	437	1279
255	438	1275
256	440	1272
257	441	1268
258	442	1264
259	442	1260
260	443	1256
261	444	1252
262	445	1248
263	446	1243
264	447	1239
265	447	1235
266	448	1231
267	449	1228
268	450	1223
269	451	1220
270	452	1218
271	454	1216
272	456	1215
273	457	1211
274	458	1208
275	459	1204
276	459	1200
277	460	1196
278	461	1192
279	462	1189
280	463	1185
281	464	1182
282	465	1178
283	466	1175
284	467	1173
285	469	1173
286	472	1173
287	473	1170
288	474	1167
289	475	1163
290	476	1159
291	476	1156
292	477	1152
293	478	1149
294	479	1145
295	480	1142
296	481	1139
297	486	1145
298	487	1143
299	490	1143
300	491	1141
301	493	1139
302	494	1136
303	497	1138
304	499	1137
305	502	1139
306	504	1138
307	505	1135
308	507	1134
309	508	1132
310	509	1129
311	512	1129
312	513	1126
313	514	1125
314	517	1125
315	522	1130
316	523	1127
317	524	1125
318	527	1126
319	530	1126
320	532	1126
321	533	1123
322	535	1121
323	536	1119
324	537	1116
325	538	1113
326	541	1114
327	543	1113
328	545	1111
329	546	1109
330	547	1106
331	548	1103
332	549	1100
333	550	1097
334	550	1093
335	551	1090
336	552	1087
337	553	1083
338	554	1080
339	554	1077
340	555	1074
341	557	1073
342	559	1071
343	560	1068
344	561	1066
345	562	1063
346	563	1060
347	564	1057
348	565	1054
349	565	1051
350	566	1048
351	567	1044
352	568	1041
353	569	1038
354	570	1036
355	573	1036
356	574	1035
357	576	1033
358	576	1030
359	577	1027
360	578	1023
361	579	1020
362	580	1018
363	581	1016
364	583	1014
365	587	1017
366	589	1017
367	591	1015
368	592	1012
369	593	1009
370	594	1007
371	595	1004
372	595	1001
373	596	998
374	597	995
375	598	992
376	598	989
377	599	986
378	600	984
379	602	982
380	604	981
381	605	980
382	606	977
383	607	975
384	608	972
385	609	969
386	610	966
387	611	963
388	611	960
389	612	958
390	613	955
391	614	952
392	615	950
393	616	947
394	617	946
395	618	943
396	620	941
397	621	940
398	622	937
399	623	935
400	624	932
401	624	929
402	625	926
403	626	924
404	627	921
405	627	918
406	628	916
407	629	913
408	631	911
409	632	910
410	634	908
411	635	907
412	636	904
413	637	902
414	638	899
415	639	897
416	640	894
417	640	892
418	641	889
419	642	887
420	643	884
421	643	881
422	644	879
423	645	876
424	646	875
425	648	873
426	649	872
427	650	869
